"subj" "group" "tree" "cat" "rt"
1 0 "KRT" "true" 2575
1 0 "UNF" "false" 3855
1 0 "UNF" "true" 2809
1 0 "URF" "false" 1656
1 0 "KNT" "true" 4623
1 0 "KRT" "true" 2344
1 0 "UNF" "false" 1906
1 0 "UNF" "true" 5375
1 0 "KNF" "false" 5816
1 0 "KRT" "true" 3026
1 0 "KNF" "false" 3998
1 0 "UNT" "false" 5364
1 0 "UNT" "true" 4006
1 0 "KNT" "true" 3555
1 0 "KNF" "false" 4073
1 0 "KRF" "false" 2667
1 0 "URT" "true" 1549
1 0 "UNF" "false" 6001
1 0 "KNT" "true" 5985
1 0 "UNT" "true" 3652
1 0 "URF" "false" 4981
1 0 "KRF" "true" 1880
1 0 "URF" "false" 654
1 0 "URT" "true" 3974
1 0 "URF" "false" 1629
1 0 "UNT" "false" 6580
1 0 "URF" "false" 2437
1 0 "KNT" "true" 5601
1 0 "KRT" "true" 2196
1 0 "KNF" "false" 3675
1 0 "KRT" "true" 2318
1 0 "URF" "false" 2607
1 0 "URT" "true" 1422
1 0 "UNT" "true" 3534
1 0 "URT" "false" 2421
1 0 "KRT" "true" 1987
1 0 "KNT" "false" 3589
1 0 "URT" "false" 1937
1 0 "UNT" "true" 3276
1 0 "URF" "false" 3816
1 0 "KRF" "false" 1802
1 0 "KRF" "false" 2122
1 0 "URT" "false" 1998
1 0 "KNF" "false" 2566
1 0 "KNF" "false" 6207
1 0 "URF" "false" 2765
1 0 "UNF" "false" 3342
1 0 "UNF" "false" 3700
1 0 "KNT" "true" 2694
1 0 "KNF" "false" 3216
1 0 "KRF" "false" 2429
1 0 "UNT" "true" 4389
1 0 "KRF" "false" 6343
1 0 "KRF" "false" 2738
1 0 "KNF" "true" 4698
1 0 "KRF" "false" 1691
1 0 "URT" "false" 2790
1 0 "UNT" "false" 4318
1 0 "KRT" "true" 2276
1 0 "KRT" "true" 3025
1 0 "KRF" "false" 2375
1 0 "KNT" "false" 6223
1 0 "UNF" "false" 3158
1 0 "URF" "false" 2116
1 0 "KNT" "false" 3007
1 0 "UNT" "true" 4758
1 0 "URT" "true" 3098
1 0 "KNT" "true" 2252
1 0 "URF" "true" 2570
1 0 "URT" "false" 2721
1 0 "KNF" "false" 3436
1 0 "KRT" "true" 2974
1 0 "KNF" "true" 5399
1 0 "UNF" "false" 3456
1 0 "KNT" "true" 5452
1 0 "KRT" "true" 4835
1 0 "UNT" "false" 2861
1 0 "KRF" "true" 4784
1 0 "URT" "false" 2804
1 0 "UNF" "true" 4305
