"subj" "group" "tree" "cat" "rt"
1 0 7 15 2575
1 0 0 0 3855
1 0 0 1 2809
1 0 2 4 1656
1 0 5 11 4623
1 0 7 15 2344
1 0 0 0 1906
1 0 0 1 5375
1 0 4 8 5816
1 0 7 15 3026
1 0 4 8 3998
1 0 1 2 5364
1 0 1 3 4006
1 0 5 11 3555
1 0 4 8 4073
1 0 6 12 2667
1 0 3 7 1549
1 0 0 0 6001
1 0 5 11 5985
1 0 1 3 3652
1 0 2 4 4981
1 0 6 13 1880
1 0 2 4 654
1 0 3 7 3974
1 0 2 4 1629
1 0 1 2 6580
1 0 2 4 2437
1 0 5 11 5601
1 0 7 15 2196
1 0 4 8 3675
1 0 7 15 2318
1 0 2 4 2607
1 0 3 7 1422
1 0 1 3 3534
1 0 3 6 2421
1 0 7 15 1987
1 0 5 10 3589
1 0 3 6 1937
1 0 1 3 3276
1 0 2 4 3816
1 0 6 12 1802
1 0 6 12 2122
1 0 3 6 1998
1 0 4 8 2566
1 0 4 8 6207
1 0 2 4 2765
1 0 0 0 3342
1 0 0 0 3700
1 0 5 11 2694
1 0 4 8 3216
1 0 6 12 2429
1 0 1 3 4389
1 0 6 12 6343
1 0 6 12 2738
1 0 4 9 4698
1 0 6 12 1691
1 0 3 6 2790
1 0 1 2 4318
1 0 7 15 2276
1 0 7 15 3025
1 0 6 12 2375
1 0 5 10 6223
1 0 0 0 3158
1 0 2 4 2116
1 0 5 10 3007
1 0 1 3 4758
1 0 3 7 3098
1 0 5 11 2252
1 0 2 5 2570
1 0 3 6 2721
1 0 4 8 3436
1 0 7 15 2974
1 0 4 9 5399
1 0 0 0 3456
1 0 5 11 5452
1 0 7 15 4835
1 0 1 2 2861
1 0 6 13 4784
1 0 3 6 2804
1 0 0 1 4305
2 0 7 15 2019
2 0 2 5 2652
2 0 5 10 2011
2 0 4 8 4256
2 0 5 11 1970
2 0 5 11 1772
2 0 3 7 2626
2 0 1 2 2584
2 0 1 3 2445
2 0 7 15 1172
2 0 7 15 3051
2 0 5 11 2482
2 0 4 8 1886
2 0 2 4 2136
2 0 5 11 2102
2 0 0 0 2915
2 0 7 15 2055
2 0 0 0 2802
2 0 6 12 3040
2 0 0 0 1904
2 0 6 12 1895
2 0 3 6 3028
2 0 7 14 1691
2 0 3 7 1658
2 0 5 10 3612
